"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 4393"
"Critères de sélection =>";"Date de première alerte, de : 2022-01-01 00:00:00";"Date de première alerte, jusqu'à : 2022-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Origine de l'alerte";"Moyens de première intervention";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Voie carrossable la plus proche";"Activité ou habitation la plus proche";"Type de peuplement";"Connaissance de la cause";"Source de l'enquête";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";Commentaire;"Précision de la donnée";"Présence d'un contour valide"
2022;13525;"34";"34286";"Saint-Privat";"2022-01-21 17:48:00";"Population";"3";29299;0;29299;;;;;;;;;"Oui";"1";"3";"1";"Probable";"Coordinateur";"Malveillance";"Non";;;;;;;;;;"";"Non"
2022;20451;"06";"06020";"La Bollène-Vésubie";"2022-01-22 02:01:00";"Population";"3";30;;;;;;;;;;;"Non";"4";"2";;"Inconnue";;;;;;;;;;;;;"";"Non"
2022;18339;"30";"30132";"La Grand-Combe";"2022-01-22 12:22:00";"Indéterminé";;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;15945;"11";"11370";"Salles-d'Aude";"2022-01-22 13:19:00";"Indéterminé";;1300;;;;;;;;;;;;;;;"Probable";"Gestionnaire";"Malveillance";"Oui";;;;;;;;;;"";"Non"
2022;13823;"06";"06050";"Coursegoules";"2022-01-22 17:55:00";"Population";"3";1500;;1500;;;;;;;;;"Non";"3";"3";"1";"Probable";"Sapeur-pompier";"Malveillance";;;;;;;;;;;"";"Non"
2022;13855;"34";"34156";"Mérifons";"2022-01-23 11:41:00";"Population";"3";82618;;82618;;;;;;;;;"Oui";"3";"3";"1";"Probable";"Coordinateur";"Involontaire (travaux)";"Non";;;;;;;;;;"";"Non"
2022;19436;"13";"13030";"Cuges-les-Pins";"2022-01-23 11:48:00";"Population";"1";20000;20000;;;;;;;;;;"Oui";"2";"2";"1";"Certaine";"Coordinateur";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;20452;"06";"06160";"Villeneuve-d'Entraunes";"2022-01-23 12:10:00";"Population";"3";150;;;;;;;;;;;"Non";"1";"3";;"Inconnue";;;;;;;;;;;;;"";"Non"
2022;13638;"2B";"2B225";"Pietra-di-Verde";"2022-01-23 13:48:00";"Indéterminé";;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;13613;"06";"06033";"Carros";"2022-01-23 13:52:00";"Population";"3";1000;;1000;;;;;;;;;"Non";"2";"3";"1";"Probable";"Sapeur-pompier";"Malveillance";;;;;;;;;;;"";"Non"
2022;18309;"84";"84137";"Vaison-la-Romaine";"2022-01-23 13:53:00";"Population";"3";30;30;;;;;;;;;;;;;"4";"Inconnue";;;;;;;;;;;;;"";"Non"
2022;19536;"13";"13001";"Aix-en-Provence";"2022-01-23 15:32:00";"Population";"3";200;200;;;;;;;;;;"Non";"2";"2";"1";"Certaine";"Coordinateur";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13866;"34";"34041";"Brignac";"2022-01-23 16:48:00";"Population";"3";84;0;84;;;;;;;;;"Non";"4";"3";"1";"Inconnue";"Coordinateur";;"Non";;;;;;;;;;"";"Non"
2022;19491;"13";"13100";"Saint-Rémy-de-Provence";"2022-01-23 17:50:00";"Population";"3";100;100;;;;;;;;;;"Non";"2";"2";"1";"Certaine";"Coordinateur";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13834;"06";"06053";"Daluis";"2022-01-24 12:05:00";"Population";"3";12000;;;;;;;;;;;"Oui";"2";"3";"1";"Certaine";"Service de police et de gendarmerie";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13639;"2B";"2B039";"Bisinchi";"2022-01-24 15:09:00";"Indéterminé";;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;13689;"04";"04051";"Châteauneuf-Miravail";"2022-01-24 16:02:00";"Population";"3";6400;4000;2400;;;;;;;;;;"4";"3";"1";"Certaine";"Sapeur-pompier";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;20;"15";"15081";"Jou-sous-Monjou";"2022-01-24 18:38:00";"Indéterminé";;50000;0;;50000;;;50000;0;0;0;"Estimées";;;;;;"Coordinateur";"Involontaire (travaux)";;;;;;;;;;;"";"Non"
2022;1608;"88";"88258";"Lamarche";"2022-01-24 21:36:00";"Indéterminé";;4;4;;0;;;0;0;0;0;"Estimées";;;;;;;;;;;;;;;;;;"";"Non"
2022;14359;"66";"66193";"Serdinya";"2022-01-25 13:08:00";"Autre";"3";18600;;18600;;;;;;;;;"Non";"3";"3";"1";"Certaine";"Sapeur-pompier";"Involontaire (travaux)";"Non";;;;;50;43;"NO";6;;"";"Non"
2022;18;"15";"15202";"Saint-Martin-Valmeroux";"2022-01-25 13:57:00";"Indéterminé";;800;0;;800;;;800;0;0;0;"Estimées";;;;;;"Coordinateur";"Involontaire (travaux)";;;;;;;;;;;"";"Non"
2022;13642;"2B";"2B184";"Olcani";"2022-01-25 16:28:00";"Indéterminé";;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;20454;"06";"06141";"Toudon";"2022-01-25 17:41:00";"Population";"3";150;;;;;;;;;;;"Non";"1";"3";;"Inconnue";;;;;;;;;;;;;"";"Non"
2022;14020;"07";"07093";"Genestelle";"2022-01-26 12:17:00";"Population";"3";170980;30000;140980;;;;;;;;;"Oui";"1";"1";"3";"Certaine";"Coordinateur";"Involontaire (particulier)";;;;;;;20;"NO";11;;"";"Non"
2022;14053;"06";"06033";"Carros";"2022-01-26 12:44:00";"Population";"3";1600;;1600;;;;;;;;;"Oui";"1";"2";"1";"Inconnue";;;;;;;;;;;;;"";"Non"
2022;15265;"07";"07153";"Mayres";"2022-01-26 13:51:00";"Population";"3";5000;;;;;;;;;;;"Oui";"1";"2";"3";"Certaine";"Sapeur-pompier";"Involontaire (particulier)";;;;;;;20;"N";1;;"";"Non"
2022;14845;"48";"48119";"Prévenchères";"2022-01-26 15:55:00";"Population";"3";80000;;80000;;;;;;;;;"Oui";"3";"3";"1";"Certaine";"Sapeur-pompier";"Involontaire (travaux)";"Non";;;;;;;;;;"";"Non"
2022;19710;"13";"13005";"Aubagne";"2022-01-26 16:21:00";"Population";"3";20;20;;;;;;;;;;"Non";"2";"2";"1";"Certaine";"Coordinateur";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;19525;"13";"13092";"Saint-Chamas";"2022-01-26 17:36:00";"Population";"3";400;400;;;;;;;;;;"Non";"2";"2";"1";"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;19480;"13";"13068";"Paradou";"2022-01-26 17:50:00";"Population";"3";600;600;;;;;;;;;;"Non";"2";"2";"1";"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;15946;"11";"11398";"Treilles";"2022-01-27 07:21:00";"Indéterminé";;500;;;;;;;;;;;;;;;"Certaine";"Gestionnaire";"Accidentelle";"Oui";;;;;;;;;;"";"Non"
2022;21750;"2A";"2A031";"Bastelica";"2022-01-27 10:08:00";"Indéterminé";"5";720000;15000;700000;;;;;;;5000;;;"3";"3";"1";"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;14846;"48";"48036";"Cassagnas";"2022-01-27 12:57:00";"Population";"3";10000;;10000;;;;;;;;;"Oui";"2";"3";"1";"Certaine";"Sapeur-pompier";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;14447;"66";"66049";"Céret";"2022-01-27 13:28:00";"Population";"3";6000;;;;;;;;;6000;;"Oui";"1";"3";"6";"Certaine";"Sapeur-pompier";"Involontaire (particulier)";"Non";;;;;9;9;"SE";12;;"";"Non"
2022;15947;"11";"11375";"Seignalens";"2022-01-27 14:03:00";"Indéterminé";;22900;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;14848;"48";"48116";"Pont de Montvert - Sud Mont Lozère";"2022-01-27 14:09:00";"Population";"3";200000;;200000;;;;;;;;;"Oui";;;;"Certaine";"Sapeur-pompier";"Involontaire (travaux)";"Non";;;;;;;;;;"";"Non"
2022;14849;"48";"48117";"Pourcharesses";"2022-01-27 14:58:00";"Population";"3";10000;;10000;;;;;;;;;"Non";"3";"3";"1";"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;14086;"06";"06029";"Cannes";"2022-01-27 15:03:00";"Population";"3";10;;10;;;;;;;;;"Non";"1";"3";"2";"Inconnue";;;;;;;;;;;;;"";"Non"
2022;14075;"06";"06021";"Bonson";"2022-01-27 17:18:00";"Population";"3";250;;250;;;;;;;;;"Non";"1";"3";"1";"Inconnue";;;;;;;;;;;;;"";"Non"
2022;4;"71";"71170";"Demigny";"2022-01-27 18:37:00";"Indéterminé";;10;0;;10;;;10;0;0;0;"Estimées";;;;;;;;;;;;;;;;;;"";"Non"
2022;17292;"30";"30316";"Sénéchas";"2022-01-28 06:26:00";"Indéterminé";;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;14482;"66";"66069";"Espira-de-l'Agly";"2022-01-28 07:30:00";"Population";"3";500;;500;;;;;;;;;"Non";"4";"3";"1";"Inconnue";;;"Non";;;;;60;7;"SE";3;;"";"Non"
2022;14850;"48";"48119";"Prévenchères";"2022-01-28 11:27:00";"Population";"2";1000;;1000;;;;;;;;;"Non";"3";"3";"1";"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;14669;"06";"06041";"Cipières";"2022-01-28 14:25:00";"Vigie-caméra";"3";1500;;;;;;;;;;;"Non";"2";"2";"1";"Probable";"Sapeur-pompier";"Malveillance";"Non";;;;;;;;;;"";"Non"
2022;17220;"34";"34268";"Saint-Jean-de-la-Blaquière";"2022-01-28 15:00:00";"Population";"3";26625;26625;;;;;;;;;;"Oui";"4";"3";"1";"Certaine";"Coordinateur";"Malveillance";"Oui";;;;;;;;;;"";"Non"
2022;14119;"04";"04139";"Noyers-sur-Jabron";"2022-01-28 15:13:00";"Population";"3";500;500;;;;;;;;;;;;;;"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;13647;"2B";"2B354";"Vivario";"2022-01-28 16:36:00";"Indéterminé";;200;;;;;;;;;;;;;;;"Certaine";"Sapeur-pompier";"Malveillance";;;;;;;;;;;"";"Non"
2022;14769;"34";"34214";"Pouzolles";"2022-01-28 16:53:00";"Population";"3";97231;;97231;;;;;;;;;"Oui";"4";"3";"1";"Probable";"Coordinateur";"Involontaire (travaux)";"Non";;;;;;;;;;"";"Non"
